bank,hospital,house,school,supermarket
31.0,17.0,345.0,77.0,30.0
27.0,14.0,220.0,45.0,23.0
11.0,6.0,59.0,23.0,15.0
8.0,7.0,56.0,20.0,10.0
7.0,2.0,30.0,9.0,16.0
11.0,2.0,35.0,7.0,12.0
13.0,1.0,20.0,48.0,1.0
17.0,3.0,26.0,57.0,3.0
15.0,3.0,29.0,25.0,3.0
20.0,2.0,33.0,27.0,5.0
5.0,1.0,7.0,5.0,1.0
11.0,1.0,11.0,7.0,2.0
6.0,2.0,13.0,8.0,3.0
14.0,8.0,50.0,26.0,6.0
31.0,15.0,92.0,55.0,18.0
36.0,7.0,83.0,35.0,19.0
9.0,6.0,22.0,18.0,3.0
10.0,3.0,28.0,10.0,6.0
5.0,1.0,13.0,5.0,14.0
12.0,5.0,88.0,22.0,27.0
16.0,12.0,210.0,34.0,24.0
7.0,9.0,108.0,20.0,21.0
7.0,5.0,39.0,18.0,14.0
13.0,9.0,114.0,47.0,25.0
6.0,6.0,69.0,24.0,12.0
8.0,6.0,45.0,10.0,10.0
11.0,7.0,128.0,31.0,16.0
7.0,4.0,82.0,19.0,12.0
11.0,5.0,50.0,20.0,10.0
19.0,4.0,56.0,29.0,17.0
25.0,7.0,69.0,51.0,30.0
5.0,5.0,19.0,20.0,14.0
7.0,3.0,49.0,11.0,4.0
5.0,6.0,61.0,29.0,8.0
6.0,3.0,97.0,27.0,13.0
17.0,7.0,82.0,40.0,12.0
15.0,8.0,51.0,31.0,13.0
34.0,10.0,33.0,76.0,8.0
40.0,10.0,44.0,97.0,7.0
5.0,2.0,1.0,8.0,0.0
5.0,2.0,1.0,5.0,0.0
5.0,2.0,0.0,6.0,2.0
22.0,3.0,59.0,34.0,4.0
