bank,lat,lng
8.0,22.725,114.037
9.0,22.725,114.057
6.0,22.725,114.15700000000001
8.0,22.725,114.177
19.0,22.725,114.21700000000001
58.0,22.725,114.23700000000001
48.0,22.725,114.257
22.0,22.725,114.277
6.0,22.725,114.29700000000001
11.0,22.725,114.51700000000001
17.0,22.725,114.537
6.0,22.725,115.49700000000001
6.0,22.725,115.51700000000001
5.0,22.745,110.237
16.0,22.745,111.577
9.0,22.745,111.597
11.0,22.745,112.95700000000001
5.0,22.745,112.977
22.0,22.745,113.257
28.0,22.745,113.277
7.0,22.745,113.29700000000001
6.0,22.745,113.31700000000001
5.0,22.745,113.57700000000001
13.0,22.745,113.79700000000001
27.0,22.745,113.81700000000001
24.0,22.745,113.837
10.0,22.745,113.93700000000001
6.0,22.745,113.95700000000001
23.0,22.745,114.137
20.0,22.745,114.157
10.0,22.745,114.237
6.0,22.745,114.257
9.0,22.745,114.277
6.0,22.745,114.357
9.0,22.745,114.377
6.0,22.745,114.477
7.0,22.745,114.957
9.0,22.765,111.557
40.0,22.765,111.57700000000001
22.0,22.765,111.59700000000001
5.0,22.765,112.897
54.0,22.765,112.957
49.0,22.765,112.977
10.0,22.765,113.157
6.0,22.765,113.177
6.0,22.765,113.237
40.0,22.765,113.257
61.0,22.765,113.277
24.0,22.765,113.297
6.0,22.765,113.317
5.0,22.765,113.597
6.0,22.765,113.777
6.0,22.765,113.817
23.0,22.765,113.837
18.0,22.765,113.857
12.0,22.765,113.897
6.0,22.765,113.917
10.0,22.765,113.937
10.0,22.765,113.957
6.0,22.765,114.077
6.0,22.765,114.097
5.0,22.765,114.117
6.0,22.765,114.137
6.0,22.765,114.15700000000001
8.0,22.765,114.29700000000001
9.0,22.765,114.31700000000001
5.0,22.765,114.37700000000001
10.0,22.765,114.45700000000001
21.0,22.765,114.477
6.0,22.765,114.49700000000001
7.0,22.765,114.65700000000001
5.0,22.765,114.93700000000001
9.0,22.765,114.95700000000001
30.0,22.765,115.35700000000001
30.0,22.765,115.37700000000001
5.0,22.785,110.357
8.0,22.785,111.577
6.0,22.785,111.597
29.0,22.785,112.95700000000001
18.0,22.785,112.977
8.0,22.785,113.137
19.0,22.785,113.15700000000001
14.0,22.785,113.177
15.0,22.785,113.257
43.0,22.785,113.277
25.0,22.785,113.29700000000001
6.0,22.785,113.31700000000001
10.0,22.785,113.397
10.0,22.785,113.51700000000001
25.0,22.785,113.537
10.0,22.785,113.557
8.0,22.785,113.677
12.0,22.785,113.697
10.0,22.785,113.71700000000001
12.0,22.785,113.73700000000001
21.0,22.785,113.757
24.0,22.785,113.777
16.0,22.785,113.79700000000001
13.0,22.785,113.87700000000001
17.0,22.785,113.897
10.0,22.785,113.917
9.0,22.785,114.07700000000001
5.0,22.785,114.09700000000001
6.0,22.785,114.317
12.0,22.785,114.437
44.0,22.785,114.457
43.0,22.785,114.477
6.0,22.785,114.657
7.0,22.785,114.937
34.0,22.785,115.357
28.0,22.785,115.377
5.0,22.805,112.797
7.0,22.805,113.157
